serial_number,name,nem_candidate_id,party,criminal_cases,education,age,assets,assets_in_words,liabilities,liabilities_in_words
227,Patel Kiritkumar Babarbhai,9954,IND,0,Graduate,41,"41,37,000",41 Lacs,"3,30,000",3 Lacs
228,Patel Nareshbhai Babubhai,8776,Sardar Vallabhbhai Patel Party,0,10th Pass,54,"1,53,000",1 Lacs,0,
229,Patel Navinkumar,9029,IND,0,Graduate Professional,47,0,0,0,
230,Patel Pankajbhai Lallubhai,8780,Bhartiya Tribal Party,0,10th Pass,36,"8,55,000",8 Lacs,"2,03,280",2 Lacs
231,Patel Umeshbhai Maganbhai,8779,IND,0,12th Pass,46,"15,000",15 Thou,0,
232,Patel Virendrakumar,8397,NCP,4,Graduate Professional,31,"14,22,050",14 Lacs,0,
233,Pathan Aayashabanu,8984,Ambedkar National Congress,0,5th Pass,48,"50,000",50 Thou,0,
234,Pathan Aiyubkhan Ajabakhan,9338,IND,0,12th Pass,54,"19,86,810",19 Lacs,"1,24,280",1 Lacs
235,Pathan Firozkhan,9361,IND,0,10th Pass,45,"2,86,300",2 Lacs,0,
236,Pathan Imtiyazkhan,8986,Apna Desh Party,0,8th Pass,42,"25,000",25 Thou,0,
237,Pathan Salimkhan,9014,Sanyukt Vikas Party,0,8th Pass,33,"31,87,427",31 Lacs,"34,000",34 Thou
238,Patil Chandrakant,7712,BJP,1,10th Pass,64,"44,60,44,269",44 Crore,"5,68,46,658",5 Crore
239,Poonamben Hematbhai Maadam,8019,BJP,0,Graduate,44,0,0,"9,86,32,194",9 Crore
240,Popatputra Rafik Abubakar,9439,IND,0,8th Pass,58,"1,36,000",1 Lacs,0,
241,Pradipbhai Mavjibhai Tank,9304,IND,0,10th Pass,44,"67,67,500",67 Lacs,"8,35,000",8 Lacs
242,Pragneshbhai Ratilal Chaudhari,10352,IND,0,Graduate,41,"54,20,035",54 Lacs,"20,50,000",20 Lacs
243,Prajapati Jayantibhai Devabhai,9314,Hindusthan Nirman Dal,0,5th Pass,49,"9,13,425",9 Lacs,"4,19,576",4 Lacs
244,Prajapati Kanubhai Amatharam,9326,Bharatiya Rashtravadi Paksha,0,5th Pass,52,"82,30,642",82 Lacs,0,
245,Prakash Amarnath Shukla,9037,Bhartiya Shakti Chetna Party,0,12th Pass,48,"14,11,694",14 Lacs,"6,50,000",6 Lacs
246,Prashant Patel,7708,INC,1,Graduate,44,"3,10,42,006",3 Crore,"1,09,38,685",1 Crore
247,Pravinbhai Dhursingbhai Rathava,9001,IND,0,Others,33,"50,000",50 Thou,0,
248,Purohit Shyamaben Naranbhai,9282,IND,0,Graduate,33,"25,78,000",25 Lacs,"23,06,381",23 Lacs
249,Rabari Dasabhai Karabhai,9421,IND,1,8th Pass,33,0,0,0,
250,Rabari Karshanbhai Jeshabhai,10058,IND,0,10th Pass,47,"19,28,903",19 Lacs,"14,19,300",14 Lacs
251,Rafikbhai Sapa,9015,IND,1,5th Pass,51,"1,60,000",1 Lacs,0,
252,Rahul Chimanbhai Mehta,9349,Right to Recall Party,0,Post Graduate,50,"5,48,19,000",5 Crore,0,
253,Rajesh Maurya,9384,Prajatantra Aadhar Party,0,10th Pass,44,"17,796",17 Thou,0,
254,Rajeshbhai Solanki,9016,IND,0,12th Pass,37,"2,46,000",2 Lacs,0,
255,Raju Parmar,8490,INC,0,Graduate,68,"26,29,97,727",26 Crore,"1,89,43,977",1 Crore
256,Rakeshbhai,9406,IND,0,10th Pass,37,"8,01,500",8 Lacs,0,
257,Ramani Vimalbhai,9417,IND,0,8th Pass,36,"38,62,399",38 Lacs,0,
258,Rameshbhai Dhaduk,8496,BJP,0,10th Pass,57,"35,75,64,783",35 Crore,"21,79,44,697",21 Crore
