serial_number,name,nem_candidate_id,party,criminal_cases,education,age,assets,assets_in_words,liabilities,liabilities_in_words
26,Anand Ramesh Patil,10489,IND,0,Graduate Professional,54,"8,66,102",8 Lacs,"2,50,000",2 Lacs
27,Anantkumar Hegde,10364,BJP,4,12th Pass,51,"8,47,55,455",8 Crore,"4,10,16,655",4 Crore
28,Angadi Suresh,7022,BJP,0,Graduate Professional,63,"36,61,64,525",36 Crore,"19,84,79,638",19 Crore
29,Anil Baban Hegade,10480,IND,0,10th Pass,42,0,0,0,
30,Anita Ashok Shet,7271,IND,0,10th Pass,52,"63,78,641",63 Lacs,"27,10,000",27 Lacs
31,Annasaheb Shankar Jolle,10428,BJP,0,12th Pass,55,"34,49,22,831",34 Crore,"19,55,95,693",19 Crore
32,Annojirao.G,10383,Sarva Janata Party,0,12th Pass,43,"29,26,000",29 Lacs,0,
33,Appasaheb Shripati Kurane,10432,Bharipa Bahujan Mahasangh,0,12th Pass,37,"11,84,890",11 Lacs,0,
34,Arun Prasad A,7387,Viduthalai Chiruthaigal Katchi,0,12th Pass,44,"46,500",46 Thou,0,
35,Arunachalam Y,5128,Pyramid Party of India,0,Post Graduate,34,"15,99,000",15 Lacs,0,
36,Arvind Premanand,7755,IND,0,Graduate Professional,45,"81,04,000",81 Lacs,0,
37,Asharani V,5150,Uttama Prajaakeeya Party,0,12th Pass,42,"4,25,94,246",4 Crore,"32,00,000",32 Lacs
38,Ashok Chakravarthi M.B,7279,Ambedkar Samaj Party,0,10th Pass,38,"3,50,000",3 Lacs,0,
39,Ashutosh Shashikant Kamble,10569,IND,0,10th Pass,27,0,0,0,
40,Ashwathnarayangowda,7327,BJP,2,10th Pass,59,"29,35,35,096",29 Crore,0,
41,Ayub Khan,5142,Indian New Congress Party,1,8th Pass,43,"6,04,50,000",6 Crore,0,
42,Ayubakhan A Pathan,10392,BSP,0,Graduate Professional,64,"65,29,968",65 Lacs,"26,65,862",26 Lacs
43,B N Chandrappa,7093,INC,0,Post Graduate,64,"4,82,22,730",4 Crore,0,
44,B V Tippeswamy Goshale,10614,IND,0,8th Pass,48,"3,85,000",3 Lacs,0,
45,B. Eshwarappa,10448,SHS,1,8th Pass,40,"3,04,000",3 Lacs,"13,50,000",13 Lacs
46,B. G. Sangannavar,10414,IND,0,Graduate,36,"22,68,600",22 Lacs,0,
47,B. Gopal,7323,IND,0,8th Pass,50,"8,50,000",8 Lacs,"4,89,650",4 Lacs
48,B. Krishna Prasad,7375,"Proutist Bloc, India",0,12th Pass,64,"81,10,000",81 Lacs,"5,50,000",5 Lacs
49,B. Raghu,7041,Pyramid Party of India,0,12th Pass,35,0,0,0,
50,B. S. Mallikarjunaiah,7807,IND,1,Others,45,"1,53,51,735",1 Crore,"15,00,000",15 Lacs
51,B. V Naik,7035,INC,1,Graduate Professional,53,"10,11,29,729",10 Crore,"57,03,400",57 Lacs
52,B. Venkana Gouda Nayaka,10378,BSP,0,Graduate Professional,37,"17,06,000",17 Lacs,0,
53,B.Chikka Nagesha,7690,IND,0,10th Pass,61,"7,39,626",7 Lacs,0,
54,B.K.Hariprasad,7694,INC,0,Graduate,64,"15,08,01,799",15 Crore,"3,44,00,000",3 Crore
55,B.N.Bache Gowda,7659,BJP,0,Graduate Professional,76,"1,15,35,01,141",115 Crore,0,
56,B.Sreenivasulu,7695,IND,0,Post Graduate,41,"20,11,625",20 Lacs,0,
57,B.Y.Raghavendra,7055,BJP,2,Graduate Professional,46,"67,40,93,851",67 Crore,"1,41,50,647",1 Crore
58,Badaroddin Mohammadyusuf Kamdod,10490,BSP,0,Graduate,43,"1,80,12,500",1 Crore,0,
59,Balaji Dyamanna Waddar,10444,IND,1,10th Pass,34,0,0,"1,25,000",1 Lacs
60,Balakrishna Arjun Patil,7047,IND,0,Post Graduate,39,"22,00,858",22 Lacs,"37,500",37 Thou
61,Bandimath Sharanayya,7263,Uttama Prajaakeeya Party,0,8th Pass,37,"63,000",63 Thou,0,
62,Barkath Ali,10615,IND,0,12th Pass,50,"13,38,417",13 Lacs,0,
63,Basanagouda Ramanagouda Meti,7247,Secular Democratic Congress,0,10th Pass,47,"1,07,75,000",1 Crore,"7,87,000",7 Lacs
64,Basavaraj. S. Desai,7042,IND,0,10th Pass,48,"12,12,859",12 Lacs,"4,88,988",4 Lacs
65,Bhagwanth Khuba,7037,BJP,1,Graduate Professional,50,"5,18,36,416",5 Crore,"1,02,39,000",1 Crore
66,Bhagya.S,7691,IND,0,Others,43,"8,77,80,000",8 Crore,"78,78,679",78 Lacs
67,Bommoji Ramappa Siddappa,10396,IND,0,Graduate Professional,65,"37,83,500",37 Lacs,0,
68,Brahmanand.N,7688,IND,0,8th Pass,52,"3,42,25,000",3 Crore,0,
69,Buland Deepak Dalavi,9122,IND,0,12th Pass,44,0,0,0,
70,C H Narayanaswamy,7100,IND,0,5th Pass,62,"30,97,437",30 Lacs,0,
71,C M Manjunatha Swami,10616,IND,0,Others,36,"20,50,000",20 Lacs,0,
72,C. B. K. Rama,7378,IND,0,Illiterate,42,"15,23,17,000",15 Crore,0,
73,C. Lingegowda,7747,IND,0,Graduate,75,"29,60,000",29 Lacs,0,
74,C. Ravi Kumar,7345,IND,0,5th Pass,50,0,0,0,
75,C. Shankarappa,7303,IND,0,10th Pass,53,"57,53,000",57 Lacs,0,
76,C.H.Vijayashankar,7719,INC,0,Graduate,62,"4,64,34,790",4 Crore,"35,00,000",35 Lacs
77,C.J. Aditya,7385,IND,0,12th Pass,35,"3,53,000",3 Lacs,0,
78,C.P. Divakar,5140,Uttama Prajaakeeya Party,1,Graduate,44,"7,58,15,000",7 Crore,"45,00,000",45 Lacs
79,Chaya Rajashankar,5131,Uttama Prajaakeeya Party,0,Graduate,50,0,0,0,
80,Chetak Kumar Yallappa Kamble,10476,IND,0,Graduate,33,"1,10,000",1 Lacs,0,
81,Chetan Chaman,7705,IND,0,Graduate,36,"14,37,610",14 Lacs,0,
82,Chidanand Harijan,10371,IND,0,Literate,58,"14,65,000",14 Lacs,"2,70,000",2 Lacs
83,Comrade B.Basavalingappa,10384,Marxist Leninist Party of India (Red Flag),0,12th Pass,42,"40,55,000",40 Lacs,"7,94,764",7 Lacs
84,Comrade Vijaykumar,7066,CPI(ML) Red Star,0,10th Pass,45,"5,29,000",5 Lacs,0,
85,D C Jayashankara,5139,Aihra National Party,0,Others,64,"81,18,000",81 Lacs,"10,00,000",10 Lacs
86,D M Madegowda,7332,Republican Sena,0,10th Pass,38,"8,49,106",8 Lacs,"4,89,650",4 Lacs
87,D Pennappa Turuvanur,7881,IND,0,Graduate,48,"5,30,000",5 Lacs,0,
88,D Sharadhishayana,5132,IND,0,Graduate Professional,67,"16,00,000",16 Lacs,0,
89,D. K. Konkate Keroor,7252,Rashtriya Samaj Paksha,0,Graduate,42,0,0,"1,25,000",1 Lacs
90,D.K. Suresh,7321,INC,5,12th Pass,52,"3,38,89,20,717",338 Crore,"51,93,20,305",51 Crore
91,D.Palya Khadar Subhan Khan,7668,Samajwadi Janata Party(Karnataka),0,10th Pass,48,"64,50,000",64 Lacs,0,
92,D.R. Patil,10393,INC,0,Graduate Professional,72,"5,34,24,424",5 Crore,"25,74,740",25 Lacs
93,D.V. Sadananda Gowda,7343,BJP,0,Graduate Professional,66,"20,93,84,539",20 Crore,"10,43,02,653",10 Crore
94,Dadasab Siddappa Bagayat,10442,IND,0,12th Pass,46,"1,77,76,767",1 Crore,"8,50,000",8 Lacs
95,Dayanand,10457,Ambedkarite Party of India,0,10th Pass,32,"17,000",17 Thou,"75,000",75 Thou
96,Deepak Rajesh Coelho,7082,IND,0,12th Pass,43,"44,15,000",44 Lacs,0,
97,Devendrappa,7092,Uttama Prajaakeeya Party,0,10th Pass,42,"15,76,000",15 Lacs,0,
98,Dhanamatnalli Venkateshappa,7284,RPI(A),0,12th Pass,43,"48,20,000",48 Lacs,0,
99,Dhananjay Rajaram Patil,10471,IND,0,12th Pass,42,0,0,"35,20,000",35 Lacs
