serial_number,name,nem_candidate_id,party,criminal_cases,education,age,assets,assets_in_words,liabilities,liabilities_in_words
718,"Subhashini Mallathi, R.C.",7981,IND,0,Graduate,39,"3,16,32,804",3 Crore,"1,74,26,363",1 Crore
719,Subhashini. K,8175,Naam Tamilar Katchi,0,Graduate,27,0,0,"57,500",57 Thou
720,Subi. T,7506,The Future India Party,0,Post Graduate,27,"27,37,618",27 Lacs,"8,77,473",8 Lacs
721,"Subramani, M.",8524,IND,0,5th Pass,56,"14,86,790",14 Lacs,"3,35,000",3 Lacs
722,Subramanian K,6502,IND,0,8th Pass,55,"30,17,297",30 Lacs,0,
723,Subramanian. P,8186,IND,0,8th Pass,42,"11,96,000",11 Lacs,0,
724,Sudhish L K,5265,DMDK,5,Graduate,51,"60,17,47,124",60 Crore,"17,52,46,855",17 Crore
725,"Sugan Rajeev, M.",8062,IND,0,10th Pass,29,"11,97,000",11 Lacs,"6,00,000",6 Lacs
726,Sugumaran. K,8185,IND,0,10th Pass,44,"38,200",38 Thou,"8,000",8 Thou
727,Sumathi B,7604,IND,0,Illiterate,33,"14,50,000",14 Lacs,0,
728,Sumathy Alias Thamizhachi Thangapandian,5212,DMK,0,Doctorate,56,"9,17,93,460",9 Crore,"5,00,000",5 Lacs
729,Sundar K,8538,IND,0,Post Graduate,41,0,0,"30,00,000",30 Lacs
730,Sundaram N,7969,IND,0,Graduate Professional,34,"8,50,785",8 Lacs,0,
731,Sundrarajan.P,8414,IND,0,5th Pass,61,"12,38,000",12 Lacs,0,
732,"Sunman, V.",8028,IND,0,10th Pass,28,"1,45,454",1 Lacs,0,
733,Suresh Babu D,5851,Desiya Makkal Sakthi Katchi,0,Post Graduate,43,"2,89,20,971",2 Crore,"80,62,407",80 Lacs
734,"Suresh, K.",8296,IND,0,Graduate Professional,29,"6,65,988",6 Lacs,"41,000",41 Thou
735,Suresh. K,8427,Ulzaipali Makkal Katchy,0,8th Pass,44,"70,000",70 Thou,0,
736,Suriya Ragupathy. T,8915,IND,0,Graduate Professional,31,"5,23,544",5 Lacs,0,
737,Surulivel.N.K,7564,IND,1,Graduate Professional,46,"2,91,62,302",2 Crore,"40,07,849",40 Lacs
738,"Suthakaran, S. Dr.",8426,Makkal Needhi Maiam,0,Graduate Professional,52,"5,89,04,398",5 Crore,"2,53,02,234",2 Crore
739,T. Bhuvaneswari,5341,Naam Tamilar Katchi,0,Graduate,37,0,0,"3,50,000",3 Lacs
740,T. R. V .S. Ramesh,8269,DMK,0,Graduate Professional,48,"42,33,78,552",42 Crore,"10,28,28,604",10 Crore
741,T.Chinnasathiyamoorthy,4768,SUCI(C),0,12th Pass,54,"50,08,000",50 Lacs,0,
742,T.V.S.Gandhi,4738,IND,0,Illiterate,45,"66,698",66 Thou,0,
743,Tambaram Narayanan G,6444,IND,0,Post Graduate,59,"16,09,02,964",16 Crore,"5,02,94,342",5 Crore
744,Tamilarasan V V,8668,IND,0,Graduate,33,"96,000",96 Thou,0,
745,Tamilarasan.T,7559,IND,0,Literate,38,"2,82,000",2 Lacs,0,
746,Tamilarasi A,5849,Naam Tamilar Katchi,0,Post Graduate,37,"29,34,243",29 Lacs,0,
747,Thamarai Selvam. K,8918,IND,0,12th Pass,32,"10,11,876",10 Lacs,"60,000",60 Thou
748,Thambidurai M,8873,AIADMK,2,Doctorate,73,"25,52,83,854",25 Crore,"8,32,15,997",8 Crore
749,Thangaraj. C,8917,IND,0,Graduate Professional,34,0,0,"2,00,000",2 Lacs
750,Thangavel P S N,8892,IND,0,Graduate Professional,52,"4,87,31,533",4 Crore,"47,69,030",47 Lacs
751,Thangavelu R,7528,Makkal Needhi Maiam,0,Graduate,57,"62,80,106",62 Lacs,"2,60,000",2 Lacs
752,"Thiagarajan, P.I.D.",8067,IND,0,10th Pass,73,"14,53,770",14 Lacs,0,
753,Thirugnanasambandam. D,8188,IND,0,10th Pass,78,"18,89,700",18 Lacs,"6,00,000",6 Lacs
754,Thirumaavalavan Thol,8261,Viduthalai Chiruthaigal Katchi,3,Doctorate,56,"92,44,092",92 Lacs,"3,94,248",3 Lacs
755,Thirunavukarasu. S,8416,IND,0,8th Pass,42,"15,58,009",15 Lacs,0,
756,Thirunavukkarasar. Su,8402,INC,0,Post Graduate,69,"3,21,82,184",3 Crore,"40,208",40 Thou
757,Thirunavukkarasu R,5317,IND,0,Post Graduate,82,"5,01,60,000",5 Crore,0,
758,U Radhakrishnan,8472,IND,0,5th Pass,62,"30,22,000",30 Lacs,"13,50,000",13 Lacs
759,Udhayakumar P.S,8555,IND,0,5th Pass,48,0,0,"25,000",25 Thou
760,Udhayakumar. A,8433,IND,0,Post Graduate,37,"15,000",15 Thou,0,
761,Ulaganathan T,8882,IND,0,Graduate Professional,66,"12,56,099",12 Lacs,0,
762,"Umayorubagam, M.",8056,IND,1,Graduate,67,"3,33,000",3 Lacs,0,
763,"Uthamaselvan, N.",8293,IND,0,Graduate Professional,47,"2,51,000",2 Lacs,0,
764,V Krishnan,8468,IND,0,8th Pass,49,"1,59,03,000",1 Crore,"8,70,000",8 Lacs
765,V Pushpanantham,8471,IND,0,Post Graduate,50,"3,79,500",3 Lacs,0,
766,V R Geethalakshmi,5852,Pyramid Party of India,0,12th Pass,51,"6,50,000",6 Lacs,0,
767,V Radhakrishnan,8666,IND,0,Graduate,47,"5,16,29,805",5 Crore,0,
768,V. Annamalai,8271,Makkal Needhi Maiam,0,Post Graduate,44,"8,82,67,747",8 Crore,0,
769,V. Jainteen,5359,Naam Tamilar Katchi,0,Graduate Professional,41,0,0,"90,00,000",90 Lacs
770,V. Saravanan,6388,IND,0,Graduate Professional,29,"3,53,700",3 Lacs,0,
771,V. Sekar,14201,All Pensioners Party,0,10th Pass,60,"42,70,000",42 Lacs,0,
772,V. Selvaraj,14210,IND,0,Graduate,59,"29,13,000",29 Lacs,"1,00,000",1 Lacs
773,V. Vinayagamoorthy,5340,IND,0,Graduate Professional,47,"3,00,000",3 Lacs,0,
774,V.D.N. Anandh. B.E,8958,IND,4,Graduate Professional,38,"4,90,57,656",4 Crore,"61,03,249",61 Lacs
775,V.Gunasekaran,6371,IND,0,8th Pass,65,"4,29,210",4 Lacs,0,
776,V.Thirunavukkarasu,5213,Makkalatchi Katchi,0,10th Pass,42,"4,80,924",4 Lacs,"2,30,000",2 Lacs
777,Vadivel Ravanan S,5259,Pattali Makkal Katchi,0,Graduate,66,"19,25,000",19 Lacs,0,
778,Vairavan. P,8924,IND,0,Illiterate,52,"15,52,120",15 Lacs,"3,00,000",3 Lacs
779,Vaithilingam A,6434,Pattali Makkal Katchi,0,Post Graduate,49,0,0,"6,55,75,554",6 Crore
780,Vaithiyalingam R,6443,IND,0,8th Pass,54,"1,82,852",1 Lacs,0,
781,Vaithiyanathan R,6465,IND,0,Post Graduate,39,"14,43,454",14 Lacs,0,
782,Vaiyathurai A,8947,IND,0,Literate,60,"2,35,000",2 Lacs,0,
