serial_number,name,nem_candidate_id,party,criminal_cases,education,age,assets,assets_in_words,liabilities,liabilities_in_words
553,Pradeep Kumar,5461,BJP,5,Post Graduate,48,"1,72,92,937",1 Crore,"13,00,000",13 Lacs
554,Pradeep Kumar,11865,IND,0,Graduate,30,"9,56,000",9 Lacs,"40,000",40 Thou
555,Pradeep Kumar Pandey,13502,IND,3,12th Pass,32,"18,68,488",18 Lacs,0,
556,Pramendra Kumar,11917,IND,0,Post Graduate,40,"57,95,853",57 Lacs,0,
557,Pramod Krishna,7130,IND,0,12th Pass,48,"3,59,000",3 Lacs,0,
558,Pramod Kumar,7106,Rashtriya Samaj Paksha,0,Graduate,49,"1,11,02,000",1 Crore,0,
559,Pramod Kumar,11449,Samrat Ashok Sena Party,0,10th Pass,39,0,0,0,
560,Pramod Kumar,14032,IND,1,Graduate,36,"9,85,543",9 Lacs,0,
561,Pramod Kumar Yadav,8303,Bhartiya Krishak Dal,0,Post Graduate,45,"16,96,700",16 Lacs,0,
562,Pramod Kureel,11489,IND,0,Post Graduate,52,"6,45,000",6 Lacs,"2,50,000",2 Lacs
563,Pramod Shukla,12541,"Rashtrawadi Party of India,",1,8th Pass,38,"72,000",72 Thou,0,
564,Pramod Tiwari,12361,Janhit Kisan Party,0,8th Pass,45,"12,40,000",12 Lacs,0,
565,Pratyush Pathak,11273,IND,0,Graduate,30,"59,52,261",59 Lacs,0,
566,Praveen Kumar Nishad,13490,BJP,0,Graduate Professional,30,"43,00,614",43 Lacs,"23,26,248",23 Lacs
567,Praveen Kumar Singh,14109,Proutist Sarva Samaj,1,Graduate Professional,45,"9,38,000",9 Lacs,0,
568,Praveen Singh Aron,7891,INC,1,Graduate Professional,61,"1,47,76,86,028",147 Crore,"4,65,48,771",4 Crore
569,Preeta Harit,5521,INC,0,Post Graduate,54,0,0,0,
570,Prem Shankar,11038,Moulik Adhikar Party,0,10th Pass,34,"6,18,428",6 Lacs,0,
571,Prem Singh Shakya,8352,BJP,0,Others,60,"2,61,46,972",2 Crore,0,
572,Premnath Nishad,12546,Pragatishil Samajwadi Party (Lohia),0,Graduate,38,"33,17,739",33 Lacs,"4,25,055",4 Lacs
573,Prince Kumar Sharma,8358,IND,0,Post Graduate,28,"40,000",40 Thou,0,
574,Pritam Singh,9671,INC,0,Post Graduate,64,"2,84,24,501",2 Crore,"1,54,60,966",1 Crore
575,Priti Kashyap,7398,Rashtriya Mazdoor Ekta Party,0,Illiterate,27,"20,81,000",20 Lacs,0,
