serial_number,name,nem_candidate_id,party,criminal_cases,education,age,assets,assets_in_words,liabilities,liabilities_in_words
393,Rakesh Chaudhari,5610,Moulik Adhikar Party,0,12th Pass,46,"35,34,000",35 Lacs,"2,18,000",2 Lacs
394,Rakesh Kewat,12833,Rashtriya Hind Sena,0,8th Pass,35,"1,55,16,300",1 Crore,"7,65,000",7 Lacs
395,Rakesh Kumar,12783,BSP,2,10th Pass,39,"31,37,201",31 Lacs,"18,87,232",18 Lacs
396,Rakesh Kumar Rai,13854,IND,0,10th Pass,45,"4,68,12,000",4 Crore,"86,000",86 Thou
397,Rakesh Paswan,14163,IND,0,Graduate,33,"5,92,000",5 Lacs,0,
398,Rakesh Raushan,5624,IND,1,12th Pass,45,"15,91,000",15 Lacs,0,
399,Ram Ayodhya Singh,13660,IND,0,10th Pass,47,0,0,0,
400,Ram Charitra Prasad Singh,13048,Hindusthan Nirman Dal,1,12th Pass,72,"89,75,000",89 Lacs,"19,84,000",19 Lacs
401,Ram Dayal Prasad,12104,IND,0,Graduate,67,"34,65,029",34 Lacs,"96,353",96 Thou
402,Ram Kripal Yadav,13057,BJP,0,Graduate,58,"2,92,13,467",2 Crore,"17,17,310",17 Lacs
403,Ram Kumar Manjhi,12496,IND,0,Graduate,39,"28,60,000",28 Lacs,0,
404,Ram Narayan Bharti,8159,BSP,0,Post Graduate,46,"69,16,000",69 Lacs,"10,00,000",10 Lacs
405,Ram Narayan Manjhi,14185,Sankhyanupati Bhagidari Party,0,Literate,56,"1,12,500",1 Lacs,0,
406,Ram Niranjan Roy,14186,Rashtrawadi Chetna Party,0,Post Graduate,60,"35,86,212",35 Lacs,0,
407,Ram Pravesh Rajak,14187,Peoples Party of India (Democratic),0,Graduate,66,"81,92,000",81 Lacs,"4,00,000",4 Lacs
408,Ram Raj Singh,13644,IND,0,Graduate,61,"1,53,78,047",1 Crore,0,
409,Ram Swarup Bharti,11645,Voters Party International,0,12th Pass,63,0,0,0,
410,Rama Devi,12098,BJP,1,Graduate Professional,69,"32,83,64,940",32 Crore,0,
411,Ramakant Choudhari,8154,BSP,0,Literate,44,"69,45,000",69 Lacs,"16,000",16 Thou
412,Ramanand Rishideo,8161,IND,0,12th Pass,66,"50,000",50 Thou,0,
413,Ramanand Thakur,7784,SHS,1,Post Graduate,48,"1,13,10,000",1 Crore,0,
414,Ramashray Thakur,10193,IND,0,Literate,63,"64,04,094",64 Lacs,0,
415,Ramchandra Paswan,10173,LJP,5,10th Pass,58,"1,73,75,975",1 Crore,"9,99,057",9 Lacs
416,Ramchandra Prasad,14148,Samagra Utthan Party,6,Graduate,76,"22,56,100",22 Lacs,"10,00,000",10 Lacs
417,Ramchandra Sah,12823,Rashtriya Jansambhavna Party,0,10th Pass,69,"13,34,000",13 Lacs,0,
418,Ramchandra Singh,14164,IND,0,Graduate Professional,45,"88,70,231",88 Lacs,"1,33,463",1 Lacs
419,Ramekbal Ram,13873,IND,0,10th Pass,55,0,0,0,
420,Ramesh Kamat,7783,Aam Adhikar Morcha,0,Post Graduate,32,"16,56,261",16 Lacs,"14,11,261",14 Lacs
421,Ramesh Kumar Mishra,11657,IND,0,8th Pass,48,"58,33,784",58 Lacs,"1,22,000",1 Lacs
422,Ramesh Kumar Sharma,14196,IND,0,Post Graduate,63,"11,07,58,33,190",1107 Crore,0,
423,Ramesh Prasad,12131,IND,0,10th Pass,52,"1,68,98,000",1 Crore,0,
424,Rameshwar Sah,12852,Rashtriya Pragati Party,0,Post Graduate,38,"3,15,376",3 Lacs,0,
425,Rameshwar Singh,13869,IND,0,Graduate,65,"97,55,000",97 Lacs,299,2 Hund
426,Ramjee Kewat,13638,Rashtriya mahan Gantantra Party,0,12th Pass,56,"54,32,000",54 Lacs,0,
427,Ramji Singh Kanta,12773,Akhil Hind Forward Bloc (Krantikari),0,10th Pass,62,"22,97,000",22 Lacs,0,
428,Ramprit Mandal,8156,JD(U),1,10th Pass,63,"8,81,19,686",8 Crore,"10,00,000",10 Lacs
429,Ramvilaf Paswan,14149,Rashtriya Hind Sena,0,5th Pass,61,0,0,"1,925",1 Thou
430,Randhir Kumar Singh,12077,RJD,3,12th Pass,36,"3,91,12,311",3 Crore,"62,66,511",62 Lacs
431,Randhir Kumar Tiwari,12826,Asli Deshi Party,0,10th Pass,31,"19,92,480",19 Lacs,0,
432,Ranganathacharya,5620,SHS,2,Literate,50,"7,69,773",7 Lacs,0,
433,Rani Devi,14178,IND,0,5th Pass,35,"50,859",50 Thou,0,
434,Ranjeet Ranjan,7629,INC,5,12th Pass,46,"11,95,43,561",11 Crore,"1,76,95,194",1 Crore
435,Ranjit Kumar,11086,Bahujan Mukti Party,0,Graduate Professional,29,"4,50,000",4 Lacs,0,
436,Ranjit Singh,13851,IND,2,12th Pass,75,"2,43,44,242",2 Crore,"5,00,000",5 Lacs
437,Ratan Bihari,10176,Jan Adhikar Party,0,Graduate,26,"7,56,000",7 Lacs,0,
438,Ratan Kumar Sarkar,12505,IND,0,10th Pass,66,"34,70,000",34 Lacs,0,
439,Ratneshwar Jha,9153,Aadarsh Mithila Party,0,12th Pass,55,0,0,"15,00,000",15 Lacs
440,Raushan Kumar,10161,Pragatishil Samajwadi Party (Lohia),0,12th Pass,31,"30,000",30 Thou,0,
