serial_number,name,nem_candidate_id,party,criminal_cases,education,age,assets,assets_in_words,liabilities,liabilities_in_words
134,Sharestha Arora,12270,Mazdoor Kirayedar Vikas Party,0,12th Pass,42,"19,31,500",19 Lacs,0,
135,Shashijeet,12342,National Youth Party,0,12th Pass,44,"11,73,350",11 Lacs,0,
136,Sheila Dikshit,12700,INC,0,Post Graduate,81,"4,92,85,773",4 Crore,0,
137,Shish Pal Singh,13397,PRISM Party,0,5th Pass,64,"23,62,891",23 Lacs,0,
138,Shiv Kumar,13379,IND,0,5th Pass,45,"11,98,000",11 Lacs,0,
139,Siddhant Gautam,13406,BSP,0,Post Graduate,52,0,0,"9,00,000",9 Lacs
140,Sita Saran Sen,13393,BSP,0,10th Pass,40,"1,57,07,415",1 Crore,"4,00,000",4 Lacs
141,Sobran Singh Chauhan,13416,Rashtriya Rashtrawadi Party,0,Graduate,63,"56,43,963",56 Lacs,0,
142,Sohan Lal Sharma,13363,Rashtra Nirman Party,0,Graduate Professional,78,"25,440",25 Thou,0,
143,Sree Nivasan Ramamoorthy,12298,IND,0,Graduate Professional,57,"99,96,766",99 Lacs,0,
144,Suman Devi,13362,Bharat Lok Sewak Party,0,Graduate,53,"1,30,000",1 Lacs,0,
145,Sumedha Bodh,13415,Jan Samman party,0,Post Graduate,35,"13,78,221",13 Lacs,0,
146,Sunil,12299,Aapki Apni Party (Peoples),0,8th Pass,36,"25,09,219",25 Lacs,"18,10,000",18 Lacs
147,Sunil Kumar,13317,Peoples Party of India (Democratic),0,Post Graduate,47,"1,16,64,371",1 Crore,"17,61,306",17 Lacs
148,Sunil Kumar,12324,IND,0,10th Pass,39,"20,31,247",20 Lacs,0,
149,Sunil Vishvakarma,13388,Ambedkar National Congress,0,10th Pass,47,0,0,"6,82,000",6 Lacs
150,Surender Gupta,13374,National Apni Party,0,5th Pass,43,"5,90,000",5 Lacs,0,
151,Suresh Kumar,12713,Socialist Janata Party,0,Graduate Professional,65,"2,53,20,000",2 Crore,0,
152,Suresh Kumar,12302,IND,0,Graduate,41,"13,76,000",13 Lacs,0,
153,Swadesh Kumar Ohr,12300,Atulya Bharat Party,0,Graduate,77,"3,34,23,025",3 Crore,"4,76,000",4 Lacs
154,Umesh Chandra Gaur,13308,RPI(A),0,Doctorate,51,"39,01,922",39 Lacs,0,
155,Upendra,13307,Anjaan Aadmi Party,0,Graduate Professional,31,"10,24,406",10 Lacs,0,
156,Vijender,12719,INC,0,Graduate,33,"12,15,25,000",12 Crore,"3,19,67,000",3 Crore
157,Vikash Kumar Mohal,13396,Aapki Apni Party (Peoples),0,12th Pass,25,"1,08,973",1 Lacs,"25,000",25 Thou
158,Virender Pratap Singh,12264,Aapki Apni Party (Peoples),0,5th Pass,38,"48,69,811",48 Lacs,"9,34,097",9 Lacs
159,Virendra Singh Bharat,13315,Rashtriya Rashtrawadi Party,0,Graduate Professional,57,0,0,"15,00,000",15 Lacs
160,Vishal Khanna,13359,Sanatan Sanskriti Raksha Dal,1,10th Pass,37,"38,10,000",38 Lacs,"2,71,500",2 Lacs
161,Yogesh Swamy,12310,IND,0,Graduate,36,"32,514",32 Thou,0,
