Unnamed: 0,Sno,candidate_name,age,constituency,party,education_details,education,criminal_cases,total_assets,assets_description,liabilities_description,total_liabilities,url,constituency_id,candidate_id,Election_Type,party_id,en,hi
1072,1012,Sattanand Sambuddha Alias Lalan Jee,60,SAHEBPUR KAMAL,RJD,"P.hd. (Philosophy) in 2013, M.A. (History) in 1990, B.A. (History) in 1987 from Magdh University",Doctorate,0,51726731,5 Crore,24 Lacs,2403664.0,https://www.myneta.info/Bihar2025/candidate.php?candidate_id=40,190,40,General,11,done,done
1073,1054,Shashikant Kumar Shashi Alias Amar Kumar Singh,57,SAHEBPUR KAMAL,IND,"Diploma in Mechanical Engineering-Govt Poly Technic, Dumka (State Technical Education Council) in 1986",Others,3,45573780,4 Crore,,,https://www.myneta.info/Bihar2025/candidate.php?candidate_id=1227,190,1227,General,1,done,done
1074,552,Md. Abdullah,68,SAHEBPUR KAMAL,Jan Suraaj Party,"10th Pass from Special, M.AS. High School, Ballia in 1967",10th Pass,0,9827189,98 Lacs,,,https://www.myneta.info/Bihar2025/candidate.php?candidate_id=443,190,443,General,4,done,done
1075,560,Md. Shahzaduzzama Alias Saify,42,SAHEBPUR KAMAL,IND,L.L.B. from B.B.M. Law College Bhagalpur University in 2016,Graduate Professional,6,4165451,41 Lacs,,,https://www.myneta.info/Bihar2025/candidate.php?candidate_id=692,190,692,General,1,done,done
1076,978,Sanjay Yadav,47,SAHEBPUR KAMAL,Rashtriya Lok Janshakti Party,BSC from I.I.B. Bhagalpur University,Graduate,1,17900000,1 Crore,,,https://www.myneta.info/Bihar2025/candidate.php?candidate_id=1224,190,1224,General,12,done,done
1077,1025,Sentu Kumar,38,SAHEBPUR KAMAL,IND,Literate,Literate,0,4524000,45 Lacs,1 Lacs,100000.0,https://www.myneta.info/Bihar2025/candidate.php?candidate_id=230,190,230,General,1,done,done
1078,1160,Surendra Kumar Alias Surendra Vivek,55,SAHEBPUR KAMAL,Lok Janshakti Party (Ram Vilas),"Matriculation from S.S. High School, Bariyarpur, BSEB, Patna in 1984, Diploma in Engineering, Darbhanga in 1991",10th Pass,0,220714901,22 Crore,26 Lacs,2633134.0,https://www.myneta.info/Bihar2025/candidate.php?candidate_id=314,190,314,General,36,done,done
1079,727,Priyanka Kumari,36,SAHEBPUR KAMAL,IND,Inter Arts fromU.V.K. College Karma Madhepura in 2014,12th Pass,0,6405000,64 Lacs,,,https://www.myneta.info/Bihar2025/candidate.php?candidate_id=1225,190,1225,General,1,done,done
1080,19,Aditya Kumar,30,SAKRA (SC),JD(U),"B.A. LLB From SKJ Law College, Muzaffarpur, BRABU, Muzaffarpur, Year-2019",Graduate Professional,0,8465242,84 Lacs,,,https://www.myneta.info/Bihar2025/candidate.php?candidate_id=315,122,315,General,10,done,done
1081,1008,Sateesh Kumar,31,SAKRA (SC),IND,MA History From LNMU Darbhanga 2022,Post Graduate,1,144000,1 Lacs,,,https://www.myneta.info/Bihar2025/candidate.php?candidate_id=690,122,690,General,1,done,done
1082,1069,Shiv Narayan,55,SAKRA (SC),Samata Party,"8th from Higher Secondary School Pusha, Samastipur in 1983",8th Pass,0,205000,2 Lacs,,,https://www.myneta.info/Bihar2025/candidate.php?candidate_id=1229,122,1229,General,43,done,done
1083,1203,Umesh Kumar Ram,64,SAKRA (SC),INC,Graduate,Graduate,0,1295000,12 Lacs,12 Lacs,1200000.0,https://www.myneta.info/Bihar2025/candidate.php?candidate_id=691,122,691,General,31,done,done
1084,941,Sachindra Kumar,43,SAKRA (SC),IND,"Madhyamik From High School Mohani in 1998, Bihar School Examination Board Patna",10th Pass,1,762000,7 Lacs,69 Lacs,6900000.0,https://www.myneta.info/Bihar2025/candidate.php?candidate_id=689,122,689,General,1,done,done
1085,916,Renu Kumari Alias Renu Paswan,40,SAKRA (SC),Jan Suraaj Party,"PGDM From Sinhgad Institute of Management and Computer Application, Pune, Year-2010",Graduate,0,1207138,12 Lacs,,,https://www.myneta.info/Bihar2025/candidate.php?candidate_id=316,122,316,General,4,done,done
1086,132,Ashok Kumar,65,SAKRA (SC),BSP,Matric From Baliram School Sakra in 1972,10th Pass,0,8654500,86 Lacs,36 Thou,36000.0,https://www.myneta.info/Bihar2025/candidate.php?candidate_id=1228,122,1228,General,5,done,done
1087,845,Ram Sewak Paswan,43,SAKRA (SC),SUCI(C),8th Pass from Sarvoday School Kolkata In 1996,8th Pass,0,14825,14 Thou,90 Thou,90320.0,https://www.myneta.info/Bihar2025/candidate.php?candidate_id=95,122,95,General,25,done,done
1088,295,Dinesh Kumar Rai,47,SAMASTIPUR,Rashtriya Jansambhavna Party,Matric from BSEB In 1992,10th Pass,0,52000,52 Thou,,,https://www.myneta.info/Bihar2025/candidate.php?candidate_id=1236,215,1236,General,8,done,done
1089,46,Akhtarul Islam Shahin,47,SAMASTIPUR,RJD,"Intermediate, BIEC, Patna In 1994",12th Pass,4,19232353,1 Crore,,,https://www.myneta.info/Bihar2025/candidate.php?candidate_id=447,215,447,General,11,done,done
