Sno,Candidate∇,Constituency,Party,Criminal Case,Education,Total Assets,Liabilities,Candidate∇ Link
370,Narender Singh,BIJWASAN,Republican Sena,0,Illiterate,"Rs 48,939~ 48 Thou+",Rs 0~,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=242
371,Narender Singh Panwar,ROHINI,IND,0,Post Graduate,"Rs 70,25,000~ 70 Lacs+",Rs 0~,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=37
372,Naresh Kumar,TUGHLAKABAD,Right to Recall Party,0,Graduate,,,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=385
373,Naresh Kumar,NEW DELHI,Aapki Apni Party (Peoples),0,8th Pass,"Rs 26,00,000~ 26 Lacs+","Rs 78,000~ 78 Thou+",https://www.myneta.info/Delhi2025/candidate.php?candidate_id=677
374,Naseem Usman,ROHTAS NAGAR,Bharatiya Liberal Party,0,12th Pass,"Rs 5,94,373~ 5 Lacs+",Rs 0~,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=354
375,Nasiruddin Gauri,MUSTAFABAD,Rashtriya Republican Party,0,10th Pass,,,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=713
376,Naveen Chaudhary (Deepu),GANDHI NAGAR,AAP,4,12th Pass,"Rs 25,73,93,912~ 25 Crore+","Rs 41,70,526~ 41 Lacs+",https://www.myneta.info/Delhi2025/candidate.php?candidate_id=218
377,Naveen Kumar,BIJWASAN,Hamara Sahi Vikalp Party,0,5th Pass,"Rs 3,60,000~ 3 Lacs+","Rs 6,00,000~ 6 Lacs+",https://www.myneta.info/Delhi2025/candidate.php?candidate_id=190
378,Naveen Ram,TRILOKPURI,IND,0,Literate,,,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=380
379,Neelam Pahalwan,NAJAFGARH,BJP,0,Post Graduate,"Rs 12,50,10,791~ 12 Crore+","Rs 26,10,000~ 26 Lacs+",https://www.myneta.info/Delhi2025/candidate.php?candidate_id=56
380,Neelam Singh,VISHWAS NAGAR,Peoples Party of India (Democratic),0,12th Pass,"Rs 1,59,53,227~ 1 Crore+",Rs 0~,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=553
381,Neeraj,KARAWAL NAGAR,New India United Party,0,10th Pass,,,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=514
382,Neeraj Basoya,KASTURBA NAGAR,BJP,0,Graduate Professional,"Rs 7,24,50,155~ 7 Crore+","Rs 2,75,000~ 2 Lacs+",https://www.myneta.info/Delhi2025/candidate.php?candidate_id=274
383,Neeraj Chourasiya,R K PURAM,Yuva Bharat Rashtraseva Party,0,Post Graduate,"Rs 1,58,54,873~ 1 Crore+","Rs 30,00,000~ 30 Lacs+",https://www.myneta.info/Delhi2025/candidate.php?candidate_id=339
384,Neetu Singh,ADARSH NAGAR,IND,1,Doctorate,,,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=422
385,Neyaz Khan,RITHALA,BSP,0,8th Pass,"Rs 48,61,000~ 48 Lacs+",Rs 0~,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=643
386,Nikhil Kumar Pipal,KONDLI,Right to Recall Party,0,Graduate,"Rs 60,000~ 60 Thou+",Rs 0~,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=16
387,Niraj Kumar,MATIALA,National Youth Party,0,Post Graduate,,,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=146
388,Nishant Sehrawat,BIJWASAN,IND,0,Post Graduate,"Rs 33,10,625~ 33 Lacs+","Rs 16,50,551~ 16 Lacs+",https://www.myneta.info/Delhi2025/candidate.php?candidate_id=469
389,Nishtha,RITHALA,Jai Maha Bharath Party,0,Graduate Professional,"Rs 26,30,000~ 26 Lacs+",Rs 0~,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=644
390,Nitin Garg,SHAHDARA,Aam Aadmi Parivartan Party,0,Graduate Professional,,,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=598
391,Nitin Mittal,ROHTAS NAGAR,IND,0,Graduate,"Rs 9,42,827~ 9 Lacs+","Rs 64,731~ 64 Thou+",https://www.myneta.info/Delhi2025/candidate.php?candidate_id=630
392,Nitya Nand Singh,NEW DELHI,Rashtriya Manav Party,0,Doctorate,"Rs 96,25,000~ 96 Lacs+",Rs 0~,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=685
393,Niyati Choudhary,GREATER KAILASH,BSP,0,Post Graduate,,,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=265
394,Nizamuddin Khan,JANAKPURI,Adarshwaadi Congress Party,0,10th Pass,"Rs 7,32,944~ 7 Lacs+","Rs 3,01,753~ 3 Lacs+",https://www.myneta.info/Delhi2025/candidate.php?candidate_id=780
395,Om Prakash Gupta,BADARPUR,IND,0,12th Pass,"Rs 35,45,500~ 35 Lacs+",Rs 0~,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=449
396,Om Prakash Sharma,VISHWAS NAGAR,BJP,0,Graduate,,,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=65
397,Om Shankar Pandey,PATPARGANJ,BSP,0,Graduate Professional,"Rs 1,54,04,362~ 1 Crore+","Rs 63,00,000~ 63 Lacs+",https://www.myneta.info/Delhi2025/candidate.php?candidate_id=337
398,Pankaj Gupta,ROHTAS NAGAR,Sarvodaya Prabhat Party,0,Graduate Professional,"Rs 1,35,000~ 1 Lacs+","Rs 1,75,000~ 1 Lacs+",https://www.myneta.info/Delhi2025/candidate.php?candidate_id=75
399,Pankaj Jagya,RAJINDER NAGAR,Republican Party of India (Athawale),0,Doctorate,,,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=789
400,Pankaj Kumar,MODEL TOWN,Rashtravadi Janata Party,0,10th Pass,"Rs 4,83,000~ 4 Lacs+",Rs 0~,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=203
401,Pankaj Kumar Singh,VIKASPURI,BJP,1,Graduate Professional,"Rs 4,94,06,844~ 4 Crore+","Rs 1,58,688~ 1 Lacs+",https://www.myneta.info/Delhi2025/candidate.php?candidate_id=124
402,Pankaj Sharma,NEW DELHI,IND,1,Graduate,,,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=682
403,Parag Jain,VISHWAS NAGAR,Aam Aadmi Parivartan Party,0,8th Pass,"Rs 63,13,100~ 63 Lacs+","Rs 23,69,000~ 23 Lacs+",https://www.myneta.info/Delhi2025/candidate.php?candidate_id=550
404,Pardeep,BADARPUR,BSP,0,Illiterate,"Rs 8,50,750~ 8 Lacs+","Rs 1,32,000~ 1 Lacs+",https://www.myneta.info/Delhi2025/candidate.php?candidate_id=229
405,Pardeep Kumar,DWARKA,BSP,0,10th Pass,,,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=397
406,Pardeep Mittal,ROHINI,AAP,3,12th Pass,"Rs 43,92,451~ 43 Lacs+",Rs 0~,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=353
407,Parduymn Singh Rajput,DWARKA,BJP,2,Post Graduate,"Rs 42,53,16,587~ 42 Crore+","Rs 10,22,56,081~ 10 Crore+",https://www.myneta.info/Delhi2025/candidate.php?candidate_id=185
408,Parmod Kumar,BADLI,SUCI(C),0,12th Pass,,,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=81
409,Parteek Gupta,KASTURBA NAGAR,IND,0,10th Pass,"Rs 1,04,31,195~ 1 Crore+","Rs 3,00,000~ 3 Lacs+",https://www.myneta.info/Delhi2025/candidate.php?candidate_id=521
410,Parveen Chauhan,TUGHLAKABAD,Samata Party,0,Graduate Professional,"Rs 1,20,17,901~ 1 Crore+",Rs 0~,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=61
411,Parveen Choudhry,KALKAJI,IND,0,Graduate,,,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=507
412,Parveen Kumar,JANAKPURI,AAP,2,Graduate Professional,"Rs 23,58,628~ 23 Lacs+",Rs 0~,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=49
413,Parveen Kumar Jain,SHALIMAR BAGH,INC,0,10th Pass,"Rs 27,66,70,764~ 27 Crore+","Rs 7,69,64,017~ 7 Crore+",https://www.myneta.info/Delhi2025/candidate.php?candidate_id=119
414,Parvesh Sahib Singh,NEW DELHI,BJP,1,Post Graduate,,,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=157
415,Parvinder Singh Alias P S Bawa,TILAK NAGAR,INC,0,Graduate,"Rs 16,20,48,836~ 16 Crore+",Rs 0~,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=166
416,Pawan Choudhry,GANDHI NAGAR,Jatiya Jana Sena Party,0,Graduate,"Rs 93,79,595~ 93 Lacs+",Rs 0~,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=486
417,Pawan Garg,TRI NAGAR,BSP,0,Graduate Professional,,,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=379
418,Pawan Sharma,UTTAM NAGAR,BJP,0,Post Graduate,"Rs 6,46,85,034~ 6 Crore+",Rs 0~,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=389
419,Permila,R K PURAM,IND,0,Post Graduate,"Rs 2,04,535~ 2 Lacs+",Rs 0~,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=655
420,Poonam Maini,KRISHNA NAGAR,National Youth Party,0,12th Pass,,,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=533
421,Poonam Sharma,WAZIRPUR,BJP,0,12th Pass,"Rs 1,27,55,121~ 1 Crore+","Rs 4,86,563~ 4 Lacs+",https://www.myneta.info/Delhi2025/candidate.php?candidate_id=547
422,Posh Balyan,UTTAM NAGAR,AAP,0,Graduate Professional,"Rs 72,69,40,052~ 72 Crore+","Rs 4,14,36,699~ 4 Crore+",https://www.myneta.info/Delhi2025/candidate.php?candidate_id=388
423,Prabhat Kumar,MATIALA,One Bharat Citizen Party,0,Doctorate,,,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=148
424,Pradeep Kumar Upmanyu,DELHI CANTT,INC,1,Graduate,"Rs 5,77,75,661~ 5 Crore+",Rs 0~,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=410
425,Prakash Chand,KARAWAL NAGAR,Bahujan Dravida Party,0,Post Graduate,"Rs 5,22,70,200~ 5 Crore+",Rs 0~,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=512
426,Prakash Chandra Joshi,PATPARGANJ,Bhartiya Rashtriya Jansatta,0,12th Pass,,,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=335
427,Prakash Srivastav,KIRARI,IND,0,Illiterate,"Rs 72,131~ 72 Thou+","Rs 81,628~ 81 Thou+",https://www.myneta.info/Delhi2025/candidate.php?candidate_id=526
428,Pramila Tokas,R K PURAM,AAP,2,12th Pass,"Rs 73,21,95,667~ 73 Crore+","Rs 6,16,03,662~ 6 Crore+",https://www.myneta.info/Delhi2025/candidate.php?candidate_id=110
429,Pramod,BURARI,Sarvodaya Prabhat Party,0,8th Pass,,,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=244
430,Prashant Chauhan,PALAM,IND,0,Post Graduate,"Rs 11,005~ 11 Thou+",Rs 0~,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=332
431,Praveen Kumar Bharti,RAJINDER NAGAR,Aazad Samaj Party (Kanshi Ram),0,Post Graduate,"Rs 9,76,025~ 9 Lacs+",Rs 0~,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=58
432,Praveen Kumar S/O Hardayal,JANAKPURI,IND,0,10th Pass,,,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=814
433,Praveen Kumar S/O P.S. Gupta,JANAKPURI,IND,1,Graduate Professional,"Rs 6,13,90,474~ 6 Crore+","Rs 21,94,769~ 21 Lacs+",https://www.myneta.info/Delhi2025/candidate.php?candidate_id=134
434,Praveen Nimesh,GOKALPUR,BJP,0,12th Pass,"Rs 9,58,05,528~ 9 Crore+","Rs 2,13,74,455~ 2 Crore+",https://www.myneta.info/Delhi2025/candidate.php?candidate_id=411
435,Pravesh Ratn,PATEL NAGAR,AAP,0,Graduate,,,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=108
436,Preetam Chand,HARI NAGAR,Rashtriya Janshakti Party (Secular),0,Graduate,"Rs 6,00,000~ 6 Lacs+",Rs 0~,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=48
437,Preeti,SULTAN PUR MAJRA,Yuva Bharat Rashtraseva Party,0,5th Pass,"Rs 11,77,239~ 11 Lacs+",Rs 0~,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=586
438,Preeti Jitender Tomar,TRI NAGAR,AAP,0,Post Graduate,,,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=214
439,Prem Ballabh,HARI NAGAR,INC,0,12th Pass,"Rs 3,76,64,421~ 3 Crore+","Rs 51,97,498~ 51 Lacs+",https://www.myneta.info/Delhi2025/candidate.php?candidate_id=415
440,Prem Chand,ADARSH NAGAR,Rashtrawadi Janlok Party (Satya),0,5th Pass,"Rs 58,000~ 58 Thou+",Rs 0~,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=428
441,Prem Chauhan,DEOLI,AAP,0,Graduate,,,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=256
442,Prem Pal Singh,VIKASPURI,Rashtriya Janshakti Party (Secular),0,10th Pass,"Rs 28,15,000~ 28 Lacs+",Rs 0~,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=211
443,Pritam Singh,KALKAJI,BSP,0,12th Pass,"Rs 2,70,000~ 2 Lacs+",Rs 0~,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=508
444,Priya,ADARSH NAGAR,Aam Janmat Party,0,8th Pass,,,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=424
445,Priyanka Gautam,KONDLI,BJP,0,Graduate Professional,"Rs 82,27,984~ 82 Lacs+","Rs 20,72,894~ 20 Lacs+",https://www.myneta.info/Delhi2025/candidate.php?candidate_id=421
446,Punam Pandey,MATIALA,IND,2,12th Pass,"Rs 1,73,56,500~ 1 Crore+","Rs 85,00,000~ 85 Lacs+",https://www.myneta.info/Delhi2025/candidate.php?candidate_id=735
447,Punam Pandey,BIJWASAN,Rashtravadi Loktantrik Party (India),2,12th Pass,,,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=241
448,Punardeep Singh Sawney (Sabby),CHANDNI CHOWK,AAP,1,12th Pass,"Rs 21,21,50,426~ 21 Crore+","Rs 55,02,661~ 55 Lacs+",https://www.myneta.info/Delhi2025/candidate.php?candidate_id=249
449,Pushpa Singh,MEHRAULI,INC,1,12th Pass,"Rs 30,93,865~ 30 Lacs+","Rs 7,68,766~ 7 Lacs+",https://www.myneta.info/Delhi2025/candidate.php?candidate_id=68
450,Qamar Ali,SANGAM VIHAR,NCP,0,12th Pass,,,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=612
451,R. C. Sharma,BADLI,Sarvodaya Prabhat Party,0,Graduate,"Rs 17,000~ 17 Thou+",Rs 0~,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=455
452,Raaj Kumar Anand,PATEL NAGAR,BJP,2,Post Graduate,"Rs 79,85,29,298~ 79 Crore+","Rs 35,09,08,528~ 35 Crore+",https://www.myneta.info/Delhi2025/candidate.php?candidate_id=333
453,Raghuvinder Shokeen,NANGLOI JAT,AAP,0,Graduate Professional,,,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=699
454,Raghvinder Singh,MATIALA,INC,1,Graduate,"Rs 24,42,80,358~ 24 Crore+","Rs 5,81,39,724~ 5 Crore+",https://www.myneta.info/Delhi2025/candidate.php?candidate_id=145
455,Ragini Nayak,WAZIRPUR,INC,3,Doctorate,"Rs 1,89,99,401~ 1 Crore+","Rs 54,73,033~ 54 Lacs+",https://www.myneta.info/Delhi2025/candidate.php?candidate_id=545
456,Rahisuddin Ahmad,SEELAM PUR,IND,0,Illiterate,,,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=794
457,Rahul Kumar,NAJAFGARH,Right to Recall Party,0,10th Pass,"Rs 50,000~ 50 Thou+",Rs 0~,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=57
458,Rahul Kumar,KAROL BAGH,INC,0,10th Pass,"Rs 98,85,968~ 98 Lacs+","Rs 18,59,816~ 18 Lacs+",https://www.myneta.info/Delhi2025/candidate.php?candidate_id=417
459,Rahul Rai,BADARPUR,Samata Party,1,12th Pass,,,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=230
460,Rahul Tiwari,CHANDNI CHOWK,Right to Recall Party,0,10th Pass,"Rs 60,000~ 60 Thou+",Rs 0~,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=27
461,Rai Singh,R K PURAM,IND,0,10th Pass,"Rs 12,00,00,000~ 12 Crore+","Rs 32,00,000~ 32 Lacs+",https://www.myneta.info/Delhi2025/candidate.php?candidate_id=656
462,Raj Karan Khatri,NERELA,BJP,0,12th Pass,,,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=102
463,Raj Kumar,JANAKPURI,All India National Raksha Sena,0,10th Pass,"Rs 1,01,000~ 1 Lacs+","Rs 27,85,600~ 27 Lacs+",https://www.myneta.info/Delhi2025/candidate.php?candidate_id=779
464,Raj Kumar Bhatia,ADARSH NAGAR,BJP,1,12th Pass,"Rs 16,60,43,106~ 16 Crore+","Rs 46,20,536~ 46 Lacs+",https://www.myneta.info/Delhi2025/candidate.php?candidate_id=63
465,Raj Kumar Chauhan,MANGOL PURI,BJP,0,12th Pass,,,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=142
466,Raj Kumari Dhillon,HARI NAGAR,IND,0,Graduate,"Rs 72,75,12,681~ 72 Crore+","Rs 22,32,99,760~ 22 Crore+",https://www.myneta.info/Delhi2025/candidate.php?candidate_id=776
467,Raja Ram,DEOLI,Bhartiya Rashtrawadi Party,0,10th Pass,"Rs 8,46,303~ 8 Lacs+",Rs 0~,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=254
468,Rajan Singh,KALKAJI,Aam Janta Party (India),0,Illiterate,,,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=135
469,Rajbir,ROHINI,IND,0,Graduate,"Rs 1,27,77,646~ 1 Crore+",Rs 0~,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=352
470,Rajender,BADLI,Aam Janmat Party,0,8th Pass,"Rs 32,09,000~ 32 Lacs+",Rs 0~,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=453
471,Rajender Singh,MOTI NAGAR,INC,0,10th Pass,,,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=67
472,Rajender Singh Tanwar,CHHATARPUR,INC,0,Post Graduate,"Rs 6,77,78,976~ 6 Crore+","Rs 14,85,833~ 14 Lacs+",https://www.myneta.info/Delhi2025/candidate.php?candidate_id=393
473,Rajendra Kumar Pal,SHAHDARA,NCP,0,Graduate Professional,"Rs 2,30,56,000~ 2 Crore+",Rs 0~,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=604
474,Rajesh,SEEMA PURI,Bharatiya Sarvodaya Kranti Party,0,8th Pass,,,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=808
475,Rajesh Chauhan,DEOLI,INC,0,Graduate,"Rs 4,72,83,869~ 4 Crore+","Rs 8,50,000~ 8 Lacs+",https://www.myneta.info/Delhi2025/candidate.php?candidate_id=86
476,Rajesh Gupta,SHAKUR BASTI,Bharat Lok Sewak Party,0,Others,"Rs 5,11,05,628~ 5 Crore+",Rs 0~,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=163
477,Rajesh Gupta,WAZIRPUR,AAP,1,Graduate,,,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=549
478,Rajesh Kumar,SHALIMAR BAGH,IND,0,10th Pass,"Rs 1,85,000~ 1 Lacs+",Rs 0~,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=591
479,Rajesh Kumar,KALKAJI,Veer Janshakti Party,0,Graduate,"Rs 20,72,835~ 20 Lacs+","Rs 6,50,000~ 6 Lacs+",https://www.myneta.info/Delhi2025/candidate.php?candidate_id=504
480,Rajesh Kumar Gupta,KIRARI,INC,0,Graduate,,,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=419
481,Rajesh Kumar Lohiya,SEEMA PURI,NCP,0,12th Pass,"Rs 36,30,376~ 36 Lacs+",Rs 0~,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=606
482,Rajesh Kumar Yadav,VISHWAS NAGAR,BSP,0,12th Pass,"Rs 2,02,99,300~ 2 Crore+","Rs 91,30,000~ 91 Lacs+",https://www.myneta.info/Delhi2025/candidate.php?candidate_id=554
483,Rajesh Lilothia,SEEMA PURI,INC,0,Post Graduate,,,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=609
484,Rajiv Bhrigukumar,UTTAM NAGAR,Rashtriya Lok Janshakti Party,0,Graduate Professional,"Rs 3,50,000~ 3 Lacs+",Rs 0~,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=810
485,Rajiv Chaudhary,VISHWAS NAGAR,INC,0,Graduate Professional,"Rs 4,28,54,696~ 4 Crore+","Rs 15,90,450~ 15 Lacs+",https://www.myneta.info/Delhi2025/candidate.php?candidate_id=210
486,Rajiv Kumar,AMBEDKAR NAGAR,Bhartiya Rashtrawadi Party,0,Graduate Professional,,,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=434
487,Rajiv Kumar Babbar,TILAK NAGAR,IND,0,5th Pass,"Rs 1,53,153~ 1 Lacs+",Rs 0~,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=581
488,Rajkumar Bharti,TIMARPUR,Peoples Party of India (Democratic),0,10th Pass,"Rs 71,041~ 71 Thou+",Rs 0~,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=570
489,Rajneesh Kumar Jha,DWARKA,National Youth Party,0,Post Graduate,,,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=183
490,Rajni,MUNDKA,IND,0,Others,"Rs 9,31,297~ 9 Lacs+","Rs 7,40,000~ 7 Lacs+",https://www.myneta.info/Delhi2025/candidate.php?candidate_id=55
491,Rajni Sharma,MATIALA,IND,0,Post Graduate,"Rs 4,50,000~ 4 Lacs+",Rs 0~,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=144
492,Raju Richariya,VIKASPURI,Rashtriya Rashtrawadi Party,0,Illiterate,,,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=20
493,Rakesh,KIRARI,IND,0,10th Pass,"Rs 6,97,036~ 6 Lacs+","Rs 2,23,000~ 2 Lacs+",https://www.myneta.info/Delhi2025/candidate.php?candidate_id=226
494,Rakesh Ranjan Shrivastav,TIMARPUR,Janhit Dal,0,10th Pass,"Rs 20,67,679~ 20 Lacs+",Rs 0~,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=569
495,Rakesh Sagar,JANGPURA,Blue India Party,1,10th Pass,,,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=753
496,Rakhi Birla,MADIPUR,AAP,1,Post Graduate,"Rs 38,52,358~ 38 Lacs+","Rs 17,13,371~ 17 Lacs+",https://www.myneta.info/Delhi2025/candidate.php?candidate_id=283
497,Ram Avtar,PATEL NAGAR,BSP,0,12th Pass,"Rs 59,30,000~ 59 Lacs+",Rs 0~,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=109
498,Ram Bahadur,BADARPUR,Akhil Bharatiya Manavata Paksha,0,10th Pass,,,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=446
499,Ram Niwas,ADARSH NAGAR,IND,0,Graduate,"Rs 67,68,200~ 67 Lacs+",Rs 0~,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=427
500,Ram Raj Singh,TIMARPUR,Rashtriya Janshakti Party (Secular),0,8th Pass,"Rs 2,04,361~ 2 Lacs+",Rs 0~,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=168
501,Ram Sajivan,NANGLOI JAT,Peoples Party of India (Democratic),0,8th Pass,,,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=310
502,Ram Singh Netaji,BADARPUR,AAP,0,5th Pass,"Rs 89,67,03,141~ 89 Crore+","Rs 3,60,23,060~ 3 Crore+",https://www.myneta.info/Delhi2025/candidate.php?candidate_id=79
503,Rambir Shokeen,MUNDKA,IND,3,12th Pass,"Rs 3,11,83,279~ 3 Crore+","Rs 8,62,000~ 8 Lacs+",https://www.myneta.info/Delhi2025/candidate.php?candidate_id=154
504,Ramesh Advocate,R K PURAM,IND,1,Graduate Professional,,,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=658
505,Ramesh Bidhuri,KALKAJI,BJP,0,Graduate Professional,"Rs 19,94,62,028~ 19 Crore+","Rs 17,60,621~ 17 Lacs+",https://www.myneta.info/Delhi2025/candidate.php?candidate_id=88
506,Ramesh Jagannath Shah,GREATER KAILASH,Delhi Janta Party,0,Graduate,"Rs 80,98,492~ 80 Lacs+",Rs 0~,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=493
507,Ramesh Pahelwan,KASTURBA NAGAR,AAP,0,12th Pass,,,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=137
508,Rameshwar Mahto,DWARKA,Rashtriya Manav Party,0,Graduate Professional,"Rs 46,89,561~ 46 Lacs+","Rs 21,68,217~ 21 Lacs+",https://www.myneta.info/Delhi2025/candidate.php?candidate_id=175
509,Ramswaroop Samria,SULTAN PUR MAJRA,IND,0,Post Graduate,"Rs 94,96,838~ 94 Lacs+","Rs 5,15,856~ 5 Lacs+",https://www.myneta.info/Delhi2025/candidate.php?candidate_id=588
510,Randhir Kumar,MADIPUR,Asankhya Samaj Party,0,8th Pass,,,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=95
511,Randhir Singh Tandi,MADIPUR,Jai Maha Bharath Party,3,10th Pass,"Rs 1,33,80,000~ 1 Crore+",Rs 0~,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=544
512,Ranjeet,KAROL BAGH,BSP,0,10th Pass,"Rs 56,05,000~ 56 Lacs+","Rs 60,000~ 60 Thou+",https://www.myneta.info/Delhi2025/candidate.php?candidate_id=197
513,Ranjeet Kumar,VIKASPURI,Rashtriya Manav Party,0,Graduate,,,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=12
514,Ranjeet Verma,SHALIMAR BAGH,New India United Party,2,8th Pass,"Rs 54,000~ 54 Thou+",Rs 0~,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=593
515,Ratan Tyagi,BURARI,NCP,0,Graduate Professional,"Rs 9,86,71,973~ 9 Crore+",Rs 0~,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=246
516,Ravi,KALKAJI,IND,0,10th Pass,,,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=503
517,Ravi,MADIPUR,IND,0,10th Pass,"Rs 1,08,517~ 1 Lacs+",Rs 0~,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=34
518,Ravi Kant,TRILOKPURI,BJP,0,Post Graduate,"Rs 20,47,145~ 20 Lacs+","Rs 9,67,826~ 9 Lacs+",https://www.myneta.info/Delhi2025/candidate.php?candidate_id=566
519,Ravi Partap Rao,JANAKPURI,BSP,0,12th Pass,,,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=786
520,Ravi Rathore,DWARKA,Republican Sena,0,5th Pass,"Rs 28,50,000~ 28 Lacs+",Rs 0~,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=396
521,Ravinder Indraj Singh,BAWANA,BJP,0,Graduate,"Rs 7,23,37,348~ 7 Crore+","Rs 35,84,993~ 35 Lacs+",https://www.myneta.info/Delhi2025/candidate.php?candidate_id=461
522,Ravinder Kumar,BADLI,BSP,0,5th Pass,,,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=44
